"mfilter_url_alias_id","path","mfp","alias","language_id","store_id","meta_title","meta_description","meta_keyword","description","h1"
"1","legkovye-shiny","12-[215],13-[70],14-[15]","tyre-size-215-70-r15-vse-shiny-filtering","1","0","Легковые шины  215/70 R15 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  215/70 R15 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  215/70 R15"
"2","legkovye-shiny","12-[225],13-[70],14-[15]","tyre-size-225-70-r15-vse-shiny-filtering","1","0","Легковые шины  225/70 R15 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  225/70 R15 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  225/70 R15"
"3","legkovye-shiny","12-[225],13-[70],14-[14]","tyre-size-225-70-r14-vse-shiny-filtering","1","0","Легковые шины  225/70 R14 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  225/70 R14 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  225/70 R14"
"4","legkovye-shiny","12-[30],13-[9.5],14-[15]","tyre-size-30-9.5-r15-vse-shiny-filtering","1","0","Легковые шины  30/9.5 R15 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  30/9.5 R15 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  30/9.5 R15"
"5","legkovye-shiny","12-[265],13-[70],14-[17]","tyre-size-265-70-r17-vse-shiny-filtering","1","0","Легковые шины  265/70 R17 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  265/70 R17 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  265/70 R17"
"6","legkovye-shiny","12-[235],13-[45],14-[20]","tyre-size-235-45-r20-vse-shiny-filtering","1","0","Легковые шины  235/45 R20 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  235/45 R20 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  235/45 R20"
"7","legkovye-shiny","12-[235],13-[55],14-[18]","tyre-size-235-55-r18-vse-shiny-filtering","1","0","Легковые шины  235/55 R18 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  235/55 R18 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  235/55 R18"
"8","legkovye-shiny","12-[265],13-[30],14-[19]","tyre-size-265-30-r19-vse-shiny-filtering","1","0","Легковые шины  265/30 R19 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  265/30 R19 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  265/30 R19"
"9","legkovye-shiny","12-[275],13-[30],14-[19]","tyre-size-275-30-r19-vse-shiny-filtering","1","0","Легковые шины  275/30 R19 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  275/30 R19 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  275/30 R19"
"10","legkovye-shiny","12-[245],13-[45],14-[20]","tyre-size-245-45-r20-vse-shiny-filtering","1","0","Легковые шины  245/45 R20 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  245/45 R20 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  245/45 R20"
"11","legkovye-shiny","12-[255],13-[45],14-[20]","tyre-size-255-45-r20-vse-shiny-filtering","1","0","Легковые шины  255/45 R20 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  255/45 R20 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  255/45 R20"
"12","legkovye-shiny","12-[275],13-[35],14-[19]","tyre-size-275-35-r19-vse-shiny-filtering","1","0","Легковые шины  275/35 R19 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  275/35 R19 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  275/35 R19"
"13","legkovye-shiny","12-[255],13-[45],14-[19]","tyre-size-255-45-r19-vse-shiny-filtering","1","0","Легковые шины  255/45 R19 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  255/45 R19 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  255/45 R19"
"14","legkovye-shiny","12-[245],13-[50],14-[20]","tyre-size-245-50-r20-vse-shiny-filtering","1","0","Легковые шины  245/50 R20 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  245/50 R20 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  245/50 R20"
"15","legkovye-shiny","12-[265],13-[40],14-[21]","tyre-size-265-40-r21-vse-shiny-filtering","1","0","Легковые шины  265/40 R21 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  265/40 R21 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  265/40 R21"
"16","legkovye-shiny","12-[295],13-[30],14-[22]","tyre-size-295-30-r22-vse-shiny-filtering","1","0","Легковые шины  295/30 R22 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  295/30 R22 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  295/30 R22"
"17","legkovye-shiny","12-[275],13-[40],14-[21]","tyre-size-275-40-r21-vse-shiny-filtering","1","0","Легковые шины  275/40 R21 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  275/40 R21 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  275/40 R21"
